route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,booking_rule_id
4930,c_20371_b_27207_d_127,t_1238867_b_27207_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238866_b_27207_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238865_b_27207_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238858_b_27207_tn_0,,East L.A. College,0,,p_8194,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1238847_b_27207_tn_0,,East L.A. College,0,,p_8195,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239019_b_27207_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239020_b_27207_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239010_b_27207_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239011_b_27207_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239012_b_27207_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239009_b_27207_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239013_b_27207_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239014_b_27207_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239015_b_27207_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239016_b_27207_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239017_b_27207_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239039_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239021_b_27207_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239022_b_27207_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239023_b_27207_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239024_b_27207_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239025_b_27207_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239026_b_27207_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239027_b_27207_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239028_b_27207_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239029_b_27207_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239030_b_27207_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239031_b_27207_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239032_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239032_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239032_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239032_b_27207_tn_4,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239033_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239033_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239033_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
