stop_id,stop_city
2696049,Downey
2696013,Downey
2679497,Downey
2696090,Downey
2679491,Downey
2696185,Downey
2696092,Downey
2696182,Downey
2679499,Downey
2696086,Downey
2696039,Downey
2696084,Downey
2696180,Downey
2696078,Downey
2696017,Downey
2696046,Downey
2696019,Downey
2696021,Downey
2696047,Downey
2696011,Downey
2696008,Downey
2696038,Downey
2696079,Downey
2696042,Downey
2696184,Downey
2696020,Downey
2696023,Downey
2679495,Downey
2696072,Downey
2696181,Downey
2696178,Downey
2696073,Downey
2696082,Downey
2696053,Downey
2696085,Downey
2696055,Downey
2696091,Downey
2696063,Downey
2696064,Downey
2679493,Downey
2696179,Downey
2696062,Downey
2696094,Downey
2696056,Downey
2696045,Downey
2696075,Downey
2696054,Downey
2696065,Downey
2696048,Downey
2696095,Downey
2696177,Downey
2696074,Downey
2696009,Downey
2696024,Downey
2679498,Downey
2696018,Downey
2696176,Downey
2679496,Downey
2696044,Downey
2696071,Downey
2696061,Downey
2696022,Downey
2696007,Downey
2696070,Downey
2696175,Downey
2696010,Downey
2696089,Downey
2696115,Downey
2679492,Downey
2696052,Downey
2696041,Downey
2696050,Downey
2696058,Downey
2696088,Downey
2696081,Downey
2696068,Downey
2696093,Downey
2696006,Downey
2696183,Downey
2696014,Downey
2696057,Downey
2696087,Downey
2696036,Downey
2696067,Paramount
2696066,Downey
2696016,Downey
2696012,Downey
2696043,Downey
2696037,Downey
2679494,Downey
2696040,Downey
