stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2696065,,,Brookshire Ave & Imperial Hwy,,33.9200849579625,-118.143799675705,,,0,,America/Los_Angeles,,,0
2696066,,,Brookshire Ave & Puritan St,,33.9151230700956,-118.147544894804,,,0,,America/Los_Angeles,,,0
2696067,,,Gardendale St & Downey Ave,,33.9148687080967,-118.151481014757,,,0,,America/Los_Angeles,,,0
2696068,,,Downey Ave & Comolette St,,33.9180930801965,-118.149206845308,,,0,,America/Los_Angeles,,,0
2696070,,,Imperial Hwy & Downey Ave,,33.9217636703354,-118.147111258967,,,0,,America/Los_Angeles,,,0
2696071,,,Imperial Hwy & Paramount Blvd,,33.9243866262152,-118.152337619919,,,0,,America/Los_Angeles,,,0
2696072,,,Rives Ave & Imperial Hwy - Apollo Park,,33.926513948303,-118.15607158901,,,0,,America/Los_Angeles,,,0
2696073,,,Rives Ave & Quill dr,,33.9286482608787,-118.154453553196,,,0,,America/Los_Angeles,,,0
2696074,,,Stewart and Gray Rd & Rives Ave,,33.9373083185836,-118.148383644498,,,0,,America/Los_Angeles,,,0
2696075,,,Stewart and Gray Rd & Old River School Rd,,33.9401361109624,-118.153557002775,,,0,,America/Los_Angeles,,,0
2696078,,,Old River school Rd & Pellet St,,33.9491940575526,-118.147508388445,,,0,,America/Los_Angeles,,,0
2696079,,,3rd St & Rives Ave,,33.9462565525167,-118.140693093108,,,0,,America/Los_Angeles,,,0
2696081,,,5th St & Paramount Blvd EB,,33.9460931618598,-118.135019513873,,,0,,America/Los_Angeles,,,0
2696082,,,5th St & New St,,33.9440013144049,-118.130918233391,,,0,,America/Los_Angeles,,,0
2696084,,,Old River School Rd & Arnett St,,33.9458728885953,-118.149849626278,,,0,,America/Los_Angeles,,,0
2696085,,,Firestone Blvd & Dolan Ave,,33.9389072167697,-118.131146796256,,,0,,America/Los_Angeles,,,0
2696086,,,Firestone Blvd & Stonewood Center Dr,,33.933884965689,-118.120877157326,,,0,,America/Los_Angeles,,,0
2696087,,,Woodruff Ave & Firestone Blvd SB,,33.9311305635271,-118.116868986455,,,0,,America/Los_Angeles,,,0
2696088,,,Stewart and Gray Rd & Coldbrook Ave,,33.927924901866,-118.122513539245,,,0,,America/Los_Angeles,,,0
2696089,,,Bellflower Blvd & Stewart and Gray Rd,,33.9274511990197,-118.125564955974,,,0,,America/Los_Angeles,,,0
2696090,,,Woodruff Ave & Washburn Rd,,33.9230427152395,-118.116851557822,,,0,,America/Los_Angeles,,,0
2696091,,,Imperial Hwy & Woodruff Ave,,33.9171966731365,-118.117056796294,,,0,,America/Los_Angeles,,,0
2696092,,,Imperial Hwy & Dunrobin Ave,,33.9171911619306,-118.120855662815,,,0,,America/Los_Angeles,,,0
2696093,,,Bellflower Blvd & Imperial Hwy,,33.9160509550097,-118.125539719709,,,0,,America/Los_Angeles,,,0
2696094,,,Bellflower Blvd & Foster Rd,,33.9099358576776,-118.125491617922,,,0,,America/Los_Angeles,,,0
2696095,,,Foster Rd & Premier Ave - Carpenter Elementary School,,33.909848953975,-118.130621512006,,,0,,America/Los_Angeles,,,0
2696115,,,Gardendale St & Vultee Ave - Old Downey Cemetery,,33.9095710238174,-118.140323231831,,,0,,America/Los_Angeles,,,0
2696175,,,Gardendale St & Lakewood Blvd,,33.9108343867385,-118.142988429708,,,0,,America/Los_Angeles,,,0
2696176,,,Golden Ave & Castana Ave - Golden Park,,33.9077144501628,-118.145520504176,,,0,,America/Los_Angeles,,,0
2696177,,,Prichard St & Barlin Ave - Golden Park,,33.9068190625008,-118.147749617174,,,0,,America/Los_Angeles,,,0
2696178,,,Gardendale St & Brookshire Ave,,33.9133341769184,-118.148186722496,,,0,,America/Los_Angeles,,,0
2696179,,,Brookshire Ave & Borson St,,33.9178253480802,-118.145240320918,,,0,,America/Los_Angeles,,,0
2696180,,,Imperial Hwy & Brookshire Ave,,33.9195255510014,-118.143526315679,,,0,,America/Los_Angeles,,,0
2696181,,,Columbia Way - Columbia Memorial Space Center,,33.9205357023296,-118.134016139705,,,0,,America/Los_Angeles,,,0
2696182,,,Lakewood Blvd & Alameda St,,33.9233796703311,-118.132783967951,,,0,,America/Los_Angeles,,,0
2696183,,,Brookshire Ave & Stewart and Gray Rd NB,,33.9308666076193,-118.135098095442,,,0,,America/Los_Angeles,,,0
2696184,,,Brookshire Ave & Davis St - Medical Center NB,,33.9350305956984,-118.132009989678,,,0,,America/Los_Angeles,,,0
2696185,,,Brookshire Ave - Downey High School,,33.9398062226815,-118.128280639212,,,0,,America/Los_Angeles,,,0
