,trip_id,stop_sequence,stop_id,route_code
3202,10004003422019-JUNE23,91,38,4.0
3203,70004003432734-JUNE23,91,5563,4.0
3204,10004003431744-JUNE23,91,5563,4.0
3205,70004003431412-JUNE23,91,5563,4.0
3206,70004003431432-JUNE23,91,5563,4.0
3207,10004003442504-JUNE23,91,38,4.0
3208,10004003442404-JUNE23,91,38,4.0
3209,10004003442304-JUNE23,91,38,4.0
3210,10004003432734-JUNE23,91,5563,4.0
3211,10004003432443-JUNE23,91,5563,4.0
3212,10004003431934-JUNE23,91,5563,4.0
3213,10004003431840-JUNE23,91,5563,4.0
3214,10004003431829-JUNE23,91,5563,4.0
3215,10004003431819-JUNE23,91,5563,4.0
3216,10004003431800-JUNE23,91,5563,4.0
3217,10004003431729-JUNE23,91,5563,4.0
3218,70004003442604-JUNE23,91,38,4.0
3219,10004003431720-JUNE23,91,5563,4.0
3220,10004003431713-JUNE23,91,5563,4.0
3221,10004003431657-JUNE23,91,5563,4.0
3222,10004003431642-JUNE23,91,5563,4.0
3223,10004003431626-JUNE23,91,5563,4.0
3224,10004003431610-JUNE23,91,5563,4.0
3225,10004003431555-JUNE23,91,5563,4.0
3226,10004003431526-JUNE23,91,5563,4.0
3227,10004003431511-JUNE23,91,5563,4.0
3228,10004003431456-JUNE23,91,5563,4.0
3229,10004003431441-JUNE23,91,5563,4.0
3230,70004003431453-JUNE23,91,5563,4.0
3231,70004003431352-JUNE23,91,5563,4.0
3232,70004003431332-JUNE23,91,5563,4.0
3233,10004003442604-JUNE23,91,38,4.0
3234,70004003431312-JUNE23,91,5563,4.0
3235,70004003422147-JUNE23,91,38,4.0
3236,70004003422223-JUNE23,91,38,4.0
3237,70004003422110-JUNE23,91,38,4.0
3238,70004003422319-JUNE23,91,38,4.0
3239,70004003422342-JUNE23,91,38,4.0
3240,70004003422423-JUNE23,91,38,4.0
3241,70004003422033-JUNE23,91,38,4.0
3242,70004003422017-JUNE23,91,38,4.0
3243,70004003422533-JUNE23,91,38,4.0
3244,70004003422634-JUNE23,91,38,4.0
3245,70004003430631-JUNE23,91,5563,4.0
3246,70004003430805-JUNE23,91,5563,4.0
3247,70004003430900-JUNE23,91,5563,4.0
3248,70004003430920-JUNE23,91,5563,4.0
3249,70004003430938-JUNE23,91,5563,4.0
3250,70004003431017-JUNE23,91,5563,4.0
3251,70004003431035-JUNE23,91,5563,4.0
3252,70004003431054-JUNE23,91,5563,4.0
3253,70004003442304-JUNE23,91,38,4.0
3254,70004003431113-JUNE23,91,5563,4.0
3255,70004003431132-JUNE23,91,5563,4.0
3256,70004003431152-JUNE23,91,5563,4.0
3257,70004003431212-JUNE23,91,5563,4.0
3258,70004003431232-JUNE23,91,5563,4.0
3259,70004003431252-JUNE23,91,5563,4.0
3260,70004003431513-JUNE23,91,5563,4.0
3261,10004003431602-JUNE23,91,5563,4.0
3262,70004003431533-JUNE23,91,5563,4.0
3263,70004003431812-JUNE23,91,5563,4.0
3264,10004003430919-JUNE23,91,5563,4.0
3265,10004003430904-JUNE23,91,5563,4.0
3266,10004003430849-JUNE23,91,5563,4.0
3267,10004003430834-JUNE23,91,5563,4.0
3268,10004003430819-JUNE23,91,5563,4.0
3269,70004003431553-JUNE23,91,5563,4.0
3270,10004003430750-JUNE23,91,5563,4.0
3271,10004003430735-JUNE23,91,5563,4.0
3272,10004003430720-JUNE23,91,5563,4.0
3273,10004003430705-JUNE23,91,5563,4.0
3274,70004003431736-JUNE23,91,5563,4.0
3275,70004003431757-JUNE23,91,5563,4.0
3276,70004003431827-JUNE23,91,5563,4.0
3277,10004003430949-JUNE23,91,5563,4.0
3278,70004003431858-JUNE23,91,5563,4.0
3279,70004003431931-JUNE23,91,5563,4.0
3280,70004003432443-JUNE23,91,5563,4.0
3281,10004003430626-JUNE23,91,5563,4.0
3282,10004003422634-JUNE23,91,38,4.0
3283,10004003422533-JUNE23,91,38,4.0
3284,10004003422423-JUNE23,91,38,4.0
3285,10004003422342-JUNE23,91,38,4.0
3286,10004003422319-JUNE23,91,38,4.0
3287,10004003422223-JUNE23,91,38,4.0
3288,10004003422147-JUNE23,91,38,4.0
3289,10004003422110-JUNE23,91,38,4.0
3290,10004003430934-JUNE23,91,5563,4.0
3291,10004003430804-JUNE23,91,5563,4.0
3292,10004003431003-JUNE23,91,5563,4.0
3293,10004003431311-JUNE23,91,5563,4.0
3294,70004003431613-JUNE23,91,5563,4.0
3295,70004003442504-JUNE23,91,38,4.0
3296,70004003442404-JUNE23,91,38,4.0
3297,70004003431634-JUNE23,91,5563,4.0
3298,70004003431655-JUNE23,91,5563,4.0
3299,10004003431018-JUNE23,91,5563,4.0
3300,70004003431715-JUNE23,91,5563,4.0
3301,10004003431426-JUNE23,91,5563,4.0
3302,10004003431411-JUNE23,91,5563,4.0
3303,10004003431356-JUNE23,91,5563,4.0
3304,10004003431326-JUNE23,91,5563,4.0
3305,10004003431341-JUNE23,91,5563,4.0
3306,10004003431256-JUNE23,91,5563,4.0
3307,10004003431142-JUNE23,91,5563,4.0
3308,10004003472704-JUNE23,91,5563,4.0
3309,10004003431032-JUNE23,91,5563,4.0
3310,10004003431045-JUNE23,91,5563,4.0
3311,10004003431241-JUNE23,91,5563,4.0
3312,10004003431113-JUNE23,91,5563,4.0
3313,10004003431058-JUNE23,91,5563,4.0
3314,10004003431156-JUNE23,91,5563,4.0
3315,70004003472704-JUNE23,91,5563,4.0
3316,10004003431211-JUNE23,91,5563,4.0
3317,10004003431226-JUNE23,91,5563,4.0
3318,60004003451915-JUNE23,90,5563,4.0
3319,60004003451844-JUNE23,90,5563,4.0
3320,60004003450959-JUNE23,90,5563,4.0
3321,60004003450730-JUNE23,90,5563,4.0
3322,60004003450844-JUNE23,90,5563,4.0
3323,60004003450827-JUNE23,90,5563,4.0
3324,60004003450749-JUNE23,90,5563,4.0
3325,60004003461948-JUNE23,90,38,4.0
3326,60004003450708-JUNE23,90,5563,4.0
3327,60004003450644-JUNE23,90,5563,4.0
3328,10010007531207-JUNE23,90,8818,48.0
3329,60004003450608-JUNE23,90,5563,4.0
3330,60004003450554-JUNE23,90,5563,4.0
3331,60004003450538-JUNE23,90,5563,4.0
3332,60004003450516-JUNE23,90,5563,4.0
3333,60004003450452-JUNE23,90,5563,4.0
3334,60004003460430-JUNE23,90,38,4.0
3335,10010007531137-JUNE23,90,8818,48.0
3336,60004003462003-JUNE23,90,38,4.0
3337,10004003450613-JUNE23,90,5563,4.0
3338,10004003450544-JUNE23,90,5563,4.0
3339,10004003450535-JUNE23,90,5563,4.0
3340,10004003450524-JUNE23,90,5563,4.0
3341,10004003450511-JUNE23,90,5563,4.0
3342,10004003450450-JUNE23,90,5563,4.0
3343,70115005411953-JUNE23,90,8124,115.0
3344,70115005411849-JUNE23,90,8124,115.0
3345,70115005411759-JUNE23,90,8124,115.0
3346,70115005411515-JUNE23,90,8124,115.0
3347,60060001732801-JUNE23,90,16928,60.0
3348,60060001732701-JUNE23,90,16928,60.0
3349,60060001732601-JUNE23,90,16928,60.0
3350,60060001732501-JUNE23,90,16928,60.0
3351,60060001732415-JUNE23,90,16928,60.0
3352,60060001732345-JUNE23,90,16928,60.0
3353,60060001732315-JUNE23,90,16928,60.0
3354,10102000752144-JUNE23,90,30006,102.0
3355,10102000752042-JUNE23,90,30006,102.0
3356,10102000751939-JUNE23,90,30006,102.0
3357,10102000751832-JUNE23,90,30006,102.0
3358,10060001732315-JUNE23,90,16928,60.0
3359,10060001732345-JUNE23,90,16928,60.0
3360,10060001732415-JUNE23,90,16928,60.0
3361,10060001732501-JUNE23,90,16928,60.0
3362,10060001732601-JUNE23,90,16928,60.0
3363,10060001732701-JUNE23,90,16928,60.0
3364,10060001732801-JUNE23,90,16928,60.0
3365,10004003450559-JUNE23,90,5563,4.0
3366,10004003450654-JUNE23,90,5563,4.0
3367,60004003462052-JUNE23,90,38,4.0
3368,10004003451129-JUNE23,90,5563,4.0
3369,60004003462130-JUNE23,90,38,4.0
3370,60004003462207-JUNE23,90,38,4.0
3371,60004003462244-JUNE23,90,38,4.0
3372,60004003480406-JUNE23,90,38,4.0
3373,70060001732801-JUNE23,90,16928,60.0
3374,70060001732701-JUNE23,90,16928,60.0
3375,70060001732601-JUNE23,90,16928,60.0
3376,70060001732501-JUNE23,90,16928,60.0
3377,70060001732415-JUNE23,90,16928,60.0
3378,70060001732345-JUNE23,90,16928,60.0
3379,70060001732315-JUNE23,90,16928,60.0
3380,60115005411953-JUNE23,90,8124,115.0
3381,60115005411847-JUNE23,90,8124,115.0
3382,60115005411756-JUNE23,90,8124,115.0
3383,60115005411712-JUNE23,90,8124,115.0
3384,60010007531615-JUNE23,90,8818,48.0
3385,10115005411955-JUNE23,90,8124,115.0
3386,10115005411851-JUNE23,90,8124,115.0
3387,10115005411639-JUNE23,90,8124,115.0
3388,10004003462055-JUNE23,90,38,4.0
3389,10004003462006-JUNE23,90,38,4.0
3390,10004003461951-JUNE23,90,38,4.0
3391,10004003460430-JUNE23,90,38,4.0
3392,10004003451921-JUNE23,90,5563,4.0
3393,10004003451909-JUNE23,90,5563,4.0
3394,10004003451855-JUNE23,90,5563,4.0
3395,10004003451542-JUNE23,90,5563,4.0
3396,10004003450642-JUNE23,90,5563,4.0
3397,60004003450620-JUNE23,90,5563,4.0
3398,70004003460430-JUNE23,90,38,4.0
3399,70004003450827-JUNE23,90,5563,4.0
3400,10004003462130-JUNE23,90,38,4.0
3401,60102000752042-JUNE23,90,30006,102.0
